,State,Category,Water User,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4,NV,M&I,"Basic Management, Inc.",19687,19684,19821,19341,11923,8798,7353,7664,8965,9148,8112,6080,6522,11847,11526,12005,12720,12069,9405,5569,5822,7269,6532,7123,5485,4988,6730,6339,5489,5286,5210,5372,5332,5861,5820,6184,5696,5948,5355,5079,5585,5555
5,NV,M&I,City of Henderson,,,1754,1945,6410,7119,7409,7965,8710,9306,10399,10539,11304,,,,,,,2816,4838,9610,8282,11492,13001,15842,13013,14283,11702,13067,12789,13206,9861,13163,12573,14881,14751,16527,15927,13844,15794,14915
6,NV,"Fish, Wildlife, Recreation",Nevada State Dept of Fish & Game,,,6,7,6,4,5,6,6,5,5,4,4,4,4,5,6,3,4,4,2,0,0,1,4,19,16,13,12,12,12,12,12,11,10,12,10,9,9,10,12,10
7,NV,M&I,Boulder City,2795,3263,4105,3945,3880,3953,3901,3826,4321,4578,4813,4536,5325,,,,,2,5,5,0,3,157,246,280,279,171,132,179,223,466,958,22,,,,,,,,,
8,NV,M&I,"Pacific Coast Building Products, Inc.",411,447,460,450,385,422,458,499,563,542,527,559,610,616,559,596,572,824,783,564,599,529,594,748,698,732,725,651,776,776,798,837,869,892,920,914,822,876,678,586,607,864
9,NV,Energy,Southern California Edison Company,5446,11169,12188,13440,14422,14709,14327,9053,11934,10163,13983,17294,14676,14198,6255,13262,13655,15985,14265,17273,14821,13931,14807,13982,13281,13149,13127,12851,12148,13402,12968,12297,11564,12038,12401,1248,396,491,520,370,97,
10,NV,M&I,Big Bend Water District,,,,,,,,,,,,,,31,895,1154,1718,2298,3439,3919,4127,4341,4387,4833,4367,4339,2632,2035,2162,2168,2176,2355,2169,2092,1997,2244,2027,1984,2235,2163,2243,2547
11,NV,"Fish, Wildlife, Recreation",Big Bend Conservation Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3
12,NV,M&I,Fort Mojave Indian Reservation,,,,,,,,,,,,,,,,,,,,,,,,,,100,2200,2406,4894,6448,4521,4518,2911,2593,3605,3366,2860,3771,3252,2834,3175,3128
13,NV,"Fish, Wildlife, Recreation",Sportsman Park (Clark County Parks),,,,,,,,,,,,,6,6,12,72,30,9,9,0,2,15,20,13,12,0,10,10,12,0,10,0,0,0,0,,,,,,,
14,NV,"Fish, Wildlife, Recreation",Boy Scouts of America,,,,,,,,,,,6,8,5,10,6,9,16,10,9,0,10,0,10,10,10,10,7,6,6,1,0,0,0,0,0,,,,,,,
15,NV,AG,NV others,43,61,76,57,28,78,65,66,66,64,66,65,59,119,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,NV,M&I,Las Vegas Wash Returns,,,,,"(29,150)","(31,357)","(32,021)","(35,198)","(66,119)","(43,253)","(44,555)","(52,034)","(68,449)","(68,240)","(69,398)","(77,610)","(88,140)","(98,560)","(112,850)","(112,580)","(114,536)","(123,783)","(126,753)","(129,046)","(136,588)","(134,908)","(154,347)","(147,418)","(156,993)","(155,271)","(164,912)","(164,245)","(186,230)","(188,154)","(203,864)","(219,323)","(211,438)","(205,931)","(205,467)","(206,510)","(211,693)","(198,299)"
